COUNTRY;ISO;REGION;CATEGORY;MEASURE;DATE IMPLEMENTED;SOURCE;LINK
Cabo Verde;CPV;Africa;Social distancing;Schools closure ;27/03/2020;Cabo Verde Goverment;https://www.governo.cv/elevamos-o-nivel-de-contingencia-da-protecao-civil-a-situacao-de-risco-de-calamidade-ulisses-correia-e-silva/
Cabo Verde;CPV;Africa;Social distancing;Public services closure ;27/03/2020;Cabo Verde Goverment;https://www.governo.cv/elevamos-o-nivel-de-contingencia-da-protecao-civil-a-situacao-de-risco-de-calamidade-ulisses-correia-e-silva/
Cabo Verde;CPV;Africa;Public health measures;Awareness campaigns;27/03/2020;Cabo Verde Goverment;https://www.governo.cv/elevamos-o-nivel-de-contingencia-da-protecao-civil-a-situacao-de-risco-de-calamidade-ulisses-correia-e-silva/
Cabo Verde;CPV;Africa;Movement restrictions;Border closure ;27/03/2020;Cabo Verde Goverment;https://www.governo.cv/elevamos-o-nivel-de-contingencia-da-protecao-civil-a-situacao-de-risco-de-calamidade-ulisses-correia-e-silva/
Cabo Verde;CPV;Africa;Social distancing;Public services closure ;27/03/2020;Cabo Verde Goverment;https://www.governo.cv/elevamos-o-nivel-de-contingencia-da-protecao-civil-a-situacao-de-risco-de-calamidade-ulisses-correia-e-silva/
Cabo Verde;CPV;Africa;Governance and socio-economic measures;Economic measures;27/03/2020;Cabo Verde Goverment;https://www.governo.cv/medidas-ao-setor-informal-asseguram-as-necessidades-basicas-da-alimentacao-do-acesso-a-saude-do-rendimento-familiar-e-de-cuidados-primeiro-ministro/
Central African Republic;CAF;Africa;Movement restrictions;International flights suspension;27/03/2020;Ministry of Foreign Affairs — France;https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-centrafricaine/
Central African Republic;CAF;Africa;Movement restrictions;Border closure ;27/03/2020;Ministry of Foreign Affairs — France;https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-centrafricaine/
Central African Republic;CAF;Africa;Social distancing;Schools closure ;27/03/2020;Gouvernement — CAR;https://www.facebook.com/gouv.cf/photos/pcb.2594650120774731/2594649900774753/?type=3&theater
China;CHN;Asia;Public health measures;Isolation and quarantine policies;27/03/2020;NHC of the PRC;http://en.nhc.gov.cn/2020-03/27/c_78387.htm
China;CHN;Asia;Public health measures;Health screenings in airports and border crossings;27/03/2020;NHC of the PRC;http://en.nhc.gov.cn/2020-03/27/c_78387.htm
China;CHN;Asia;Public health measures;Testing policy;27/03/2020;NHC of the PRC;http://en.nhc.gov.cn/2020-03/27/c_78389.htm
Colombia;COL;Americas;Public health measures;Strengthening the public health system;27/03/2020;Government — Colombia;https://coronaviruscolombia.gov.co/Covid19/acciones-27-marzo.html
Congo DR;COD;Africa;Lockdown;Partial lockdown;27/03/2020;Government — Congo DR;https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus
Costa Rica;CRI;Americas;Movement restrictions;Domestic travel restrictions;27/03/2020;Ministry of Foreign Affairs — France;https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/costa-rica/
Czech Republic;CZE;Europe;Public health measures;Strengthening the public health system;27/03/2020;Ministry of Health;https://koronavirus.mzcr.cz/ministerstvo-zdravotnictvi-po-dohode-s-odbornou-spolecnosti-upravilo-mimoradne-opatreni-tykajici-se-zakazu-navstev-ve-zdravotnickych-a-socialnich-zarizenich/
Czech Republic;CZE;Europe;Public health measures;Testing policy;27/03/2020;Ministry of Health;https://koronavirus.mzcr.cz/ministerstvo-zdravotnictvi-vydalo-doporuceny-postup-pro-testovani-pacientu-a-stanovilo-kriteria-pro-propusteni-z-izolace/
Denmark;DNK;Europe;Public health measures;Strengthening the public health system;27/03/2020;Danish Health Authority;https://www.sst.dk/da/Nyheder/2020/Hvordan-sikrer-man-udskrivelse-af-personer-med-smitte-med-COVID-19-til-kommunal-pleje
Denmark;DNK;Europe;Governance and socio-economic measures;Economic measures;27/03/2020;Danish Transport, Construction and Housing Agency;https://tbst.dk/da/Luftfart/Lister/Nyheder/Nyheder/2020/03/%C3%98konomisk-h%C3%A5ndsr%C3%A6kning-til-luftfartsbranchen
Denmark;DNK;Europe;Public health measures;Strengthening the public health system;27/03/2020;Danish Medicines Agency;https://laegemiddelstyrelsen.dk/da/nyheder/2020/laegemiddelstyrelsen-igangsaetter-dataanalyser-om-covid-19/
Dominica;DMA;Americas;Social distancing;Public services closure ;27/03/2020;Dominica News Online ;https://dominicanewsonline.com/news/homepage/homepage-carousel/directive-from-the-secretary-to-the-cabinet-in-dominica-re-covid-19-response/
Dominican Republic;DOM;Americas;Movement restrictions;Curfews;27/03/2020;Foreign Ministry — UK;https://www.gov.uk/foreign-travel-advice/dominican-republic/coronavirus
Dominican Republic;DOM;Americas;Public health measures;Other public health measures enforced;27/03/2020;Government — Dominican Republic;https://minpre.gob.do/comunicacion/notas-de-prensa/gobierno-pone-en-marcha-plan-de-desinfeccion-de-espacios-publicos/
Estonia;EST;Europe;Social distancing;Public services closure ;27/03/2020;Government;https://www.kriis.ee/en/news/additional-measures-emergency-situation
Estonia;EST;Europe;Social distancing;Public services closure ;27/03/2020;Government;https://www.kriis.ee/en/news/additional-measures-emergency-situation
Eswatini;SWZ;Africa;Lockdown;Partial lockdown;27/03/2020;Eswatini Government;https://twitter.com/EswatiniGovern1/status/1243203567550377986/photo/1
Eswatini;SWZ;Africa;Movement restrictions;Domestic travel restrictions;27/03/2020;Garda;https://www.garda.com/crisis24/news-alerts/326956/eswatini-partial-lockdown-comes-into-effect-march-27-update-1
Eswatini;SWZ;Africa;Movement restrictions;Surveillance and monitoring;27/03/2020;Eswatini Government Gazette Extroardinary;http://www.gov.sz/images/CORONA/The-Coronavirus-COVID-19-Regulations-2020.pdf
Eswatini;SWZ;Africa;Movement restrictions;Surveillance and monitoring;27/03/2020;Eswatini Government;https://twitter.com/EswatiniGovern1/status/1243565945785929732
Ethiopia;ETH;Africa;Social distancing;Changes in prison-related policies;27/03/2020;Democracy Now;https://www.democracynow.org/2020/3/27/headlines/ethiopia_to_release_prisoners_over_covid_19_fears_as_south_africa_locks_down
Ethiopia;ETH;Africa;Public health measures;Isolation and quarantine policies;27/03/2020;Office of the Prime Minister;https://twitter.com/PMEthiopia/status/1243495056360845312/photo/1
Ethiopia;ETH;Africa;Social distancing;Schools closure ;27/03/2020;Office of the Prime Minister;https://twitter.com/PMEthiopia/status/1243495056360845312/photo/1
Ethiopia;ETH;Africa;Public health measures;Strengthening the public health system;27/03/2020;Office of the Prime Minister;https://twitter.com/PMEthiopia/status/1243495056360845312/photo/1
Ethiopia;ETH;Africa;Public health measures;Strengthening the public health system;27/03/2020;Office of the Prime Minister;https://twitter.com/PMEthiopia/status/1243495056360845312/photo/1
Ethiopia;ETH;Africa;Governance and socio-economic measures;Economic measures;27/03/2020;Office of the Prime Minister;https://twitter.com/PMEthiopia/status/1243495056360845312/photo/1
Ethiopia;ETH;Africa;Governance and socio-economic measures;Economic measures;27/03/2020;Office of the Prime Minister;https://twitter.com/PMEthiopia/status/1243495056360845312/photo/1
Ethiopia;ETH;Africa;Governance and socio-economic measures;Economic measures;27/03/2020;Office of the Prime Minister;https://twitter.com/PMEthiopia/status/1243495056360845312/photo/1
Fiji;FJI;Pacific;Movement restrictions;International flights suspension;27/03/2020;RNZ;https://www.rnz.co.nz/international/pacific-news/412658/fiji-s-airport-closes-and-authorities-investigate-covid-19-breaches
Fiji;FJI;Pacific;Governance and socio-economic measures;Economic measures;27/03/2020;RNZ;https://www.rnz.co.nz/international/pacific-news/412772/covid-19-fiji-govt-unveils-us400m-stimulus-package
Finland;FIN;Europe;Social distancing;Limit public gatherings;27/03/2020;YLE state media;https://yle.fi/uutiset/osasto/news/multiple_coronavirus_cases_linked_to_lapland_ski_resorts_to_close_next_week/11268683
Finland;FIN;Europe;Movement restrictions;Border checks ;27/03/2020;Government;https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/ulkomailta-saapuvien-kontrolli-tiukentuu
Finland;FIN;Europe;Governance and socio-economic measures;Economic measures;27/03/2020;Government;https://valtioneuvosto.fi/en/article/-/asset_publisher/1410877/yksinyrittajat-voivat-hakea-tukea-kunnilta-koronavirustilanteessa
Finland;FIN;Europe;Public health measures;Strengthening the public health system;27/03/2020;Government;https://valtioneuvosto.fi/en/article/-/asset_publisher/1271139/suomi-liittyy-sopimukseen-laaketieteellisten-vastatoimien-yhteishankinnasta
Finland;FIN;Europe;Governance and socio-economic measures;Economic measures;27/03/2020;Government;https://valtioneuvosto.fi/en/article/-/asset_publisher/1410877/valtion-rahoitusta-yrityksille-koronavirustilanteessa-vahvistetaan-yritystukiin-miljardi-euroa
Finland;FIN;Europe;Governance and socio-economic measures;Economic measures;27/03/2020;Government;https://valtioneuvosto.fi/en/article/-/asset_publisher/1410877/tyonantajalle-velvollisuus-ilmoittaa-vahintaan-kymmenen-tyontekijan-irtisanomisesta-te-toimistolle
France;FRA;Europe;Public health measures;Strengthening the public health system;27/03/2020;Ministry of Solidarity and Health;https://solidarites-sante.gouv.fr/actualites/presse/communiques-de-presse/article/covid-19-le-gouvernement-facilite-les-conditions-de-transport-des
Georgia;GEO;Europe;Movement restrictions;Domestic travel restrictions;27/03/2020;International SOS;https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS
Georgia;GEO;Europe;Social distancing;Public services closure ;27/03/2020;International SOS;https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS
Germany;DEU;Europe;Governance and socio-economic measures;Economic measures;27/03/2020;Ministry of Finances;https://www.bundesfinanzministerium.de/Content/DE/Pressemitteilungen/Finanzpolitik/2020/03/2020-03-30-PM-Exportkreditgarantien.html
Guinea-Bissau;GNB;Africa;Governance and socio-economic measures;State of emergency declared;27/03/2020;China News;http://www.china.org.cn/world/Off_the_Wire/2020-03/30/content_75878534.htm
Haiti;HTI;Americas;Movement restrictions;Border closure ;27/03/2020;OCHA;https://www.humanitarianresponse.info/en/operations/ha%C3%AFti/document/haiti-covid-19-flash-update-no-2-31-mar-2020-fr-en
Haiti;HTI;Americas;Governance and socio-economic measures;Economic measures;27/03/2020;OCHA;https://www.humanitarianresponse.info/en/operations/ha%C3%AFti/document/haiti-covid-19-flash-update-no-2-31-mar-2020-fr-en
Hungary;HUN;Europe;Governance and socio-economic measures;Economic measures;27/03/2020;Official Website;http://abouthungary.hu/news-in-brief/coronavirus-update-budget-in-place-to-help-those-affected-by-the-coronavirus/
Hungary;HUN;Europe;Social distancing;Schools closure ;27/03/2020;Official Website;http://abouthungary.hu/news-in-brief/coronavirus-update-universities-to-remain-closed-despite-the-expiry-of-the-state-of-emergency/
Italy;ITA;Europe;Public health measures;Psychological assistance and medical social work;27/03/2020;Ministry of Health;http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4335
Italy;ITA;Europe;Public health measures;Strengthening the public health system;27/03/2020;Ministry of Health;http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4332
Japan;JPN;Asia;Movement restrictions;Visa restrictions;27/03/2020;Japan MoFA;https://www.mofa.go.jp/ca/fna/page4e_001053.html
Japan;JPN;Asia;Movement restrictions;International flights suspension;27/03/2020;Japan MoFA;https://www.mofa.go.jp/ca/fna/page4e_001053.html
Kenya;KEN;Africa;Movement restrictions;Curfews;27/03/2020;Ministry of Health ;https://twitter.com/MOH_Kenya/status/1243525430147235843
Korea Republic of;KOR;Asia;Public health measures;Health screenings in airports and border crossings;27/03/2020;KCDC;https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366670&tag=&nPage=6
Korea Republic of;KOR;Asia;Public health measures;Isolation and quarantine policies;27/03/2020;KCDC;https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366670&tag=&nPage=6
